core,crit_level,task1 id,task1 name,task1 period,task2 id,task2 name,task2 period
1,0,520,gsm_enc,48.0,430,rijndael_d,48.0
1,0,517,gsm_enc,48.0,441,rijndael_d,48.0
1,0,522,gsm_enc,48.0,451,rijndael_d,48.0
1,0,452,rijndael_d,48.0,354,epic,48.0
1,0,479,anagram,48.0,345,epic,48.0
1,0,487,anagram,48.0,349,epic,48.0
1,0,490,anagram,48.0,390,rijndael_e,48.0
1,0,492,anagram,48.0,399,rijndael_e,48.0
1,0,394,rijndael_e,48.0,314,cjpeg_tran,48.0
1,0,313,cjpeg_tran,48.0,261,gsm_dec,48.0
1,0,312,cjpeg_tran,48.0,270,gsm_dec,48.0
1,0,561,gsm_enc,96.0,461,rijndael_d,96.0
1,0,553,gsm_enc,96.0,468,rijndael_d,96.0
1,0,566,gsm_enc,96.0,367,epic,96.0
1,0,544,gsm_enc,96.0,375,epic,96.0
1,0,513,anagram,96.0,365,epic,96.0
1,0,495,anagram,96.0,374,epic,96.0
1,0,499,anagram,96.0,406,rijndael_e,96.0
1,0,501,anagram,96.0,417,rijndael_e,96.0
1,0,414,rijndael_e,96.0,343,cjpeg_tran,96.0
1,0,326,cjpeg_tran,96.0,283,gsm_dec,96.0
1,0,168,huff_enc,48.0,92,g723_enc,48.0
1,0,166,huff_enc,48.0,100,g723_enc,48.0
1,0,288,gsm_dec,96.0,274,gsm_dec,96.0
1,0,201,audiobeam,48.0,139,huff_enc,48.0
1,0,211,audiobeam,48.0,149,huff_enc,48.0
1,0,218,audiobeam,48.0,160,huff_enc,48.0
1,0,112,g723_enc,48.0,50,adpcm_enc,48.0
1,0,90,g723_enc,48.0,59,adpcm_enc,48.0
1,0,26,h264_dec,48.0,0,h264_dec,48.0
1,0,14,h264_dec,48.0,11,h264_dec,48.0
1,0,61,adpcm_enc,48.0,18,h264_dec,48.0
1,0,220,audiobeam,96.0,174,huff_enc,96.0
1,0,250,audiobeam,96.0,181,huff_enc,96.0
1,0,249,audiobeam,96.0,188,huff_enc,96.0
1,0,236,audiobeam,96.0,195,huff_enc,96.0
1,0,115,g723_enc,96.0,32,h264_dec,96.0
1,0,124,g723_enc,96.0,73,adpcm_enc,96.0
1,0,134,g723_enc,96.0,80,adpcm_enc,96.0
1,0,116,g723_enc,96.0,87,adpcm_enc,96.0
1,0,29,h264_dec,96.0,29,h264_dec,96.0
1,1,918,susan,96.0,913,susan,96.0
1,1,949,dijkstra,192.0,948,dijkstra,192.0
1,1,915,susan,96.0,915,susan,96.0
1,1,941,susan,192.0,940,susan,192.0
1,1,883,gsm_enc,96.0,834,rijndael_d,96.0
1,1,793,rijndael_e,96.0,765,epic,96.0
1,1,856,anagram,96.0,766,epic,96.0
1,1,865,anagram,96.0,797,rijndael_e,96.0
1,1,794,rijndael_e,96.0,740,cjpeg_tran,96.0
1,1,712,gsm_dec,96.0,700,gsm_dec,96.0
1,1,714,gsm_dec,96.0,711,gsm_dec,96.0
1,1,900,gsm_enc,192.0,843,rijndael_d,192.0
1,1,910,gsm_enc,192.0,850,rijndael_d,192.0
1,1,866,anagram,192.0,775,epic,192.0
1,1,867,anagram,192.0,780,epic,192.0
1,1,873,anagram,192.0,817,rijndael_e,192.0
1,1,757,cjpeg_tran,192.0,723,gsm_dec,192.0
1,1,722,gsm_dec,192.0,719,gsm_dec,192.0
1,1,734,gsm_dec,192.0,733,gsm_dec,192.0
1,1,687,audiobeam,96.0,670,huff_enc,96.0
1,1,698,audiobeam,96.0,677,huff_enc,96.0
1,1,653,g723_enc,96.0,625,adpcm_enc,96.0
1,1,650,g723_enc,96.0,632,adpcm_enc,96.0
1,1,654,g723_enc,96.0,641,adpcm_enc,96.0
1,1,609,adpcm_dec,96.0,580,h264_dec,96.0
1,1,608,adpcm_dec,96.0,598,huff_dec,96.0
1,1,593,huff_dec,96.0,572,h264_dec,96.0
1,1,585,huff_dec,96.0,583,h264_dec,96.0
2,0,525,gsm_enc,48.0,429,rijndael_d,48.0
2,0,526,gsm_enc,48.0,440,rijndael_d,48.0
2,0,519,gsm_enc,48.0,450,rijndael_d,48.0
2,0,426,rijndael_d,48.0,352,epic,48.0
2,0,436,rijndael_d,48.0,362,epic,48.0
2,0,489,anagram,48.0,360,epic,48.0
2,0,475,anagram,48.0,396,rijndael_e,48.0
2,0,386,rijndael_e,48.0,304,cjpeg_tran,48.0
2,0,299,cjpeg_tran,48.0,251,gsm_dec,48.0
2,0,305,cjpeg_tran,48.0,256,gsm_dec,48.0
2,0,308,cjpeg_tran,48.0,265,gsm_dec,48.0
2,0,567,gsm_enc,96.0,455,rijndael_d,96.0
2,0,560,gsm_enc,96.0,462,rijndael_d,96.0
2,0,545,gsm_enc,96.0,469,rijndael_d,96.0
2,0,554,gsm_enc,96.0,370,epic,96.0
2,0,546,gsm_enc,96.0,384,epic,96.0
2,0,498,anagram,96.0,385,epic,96.0
2,0,511,anagram,96.0,412,rijndael_e,96.0
2,0,420,rijndael_e,96.0,332,cjpeg_tran,96.0
2,0,327,cjpeg_tran,96.0,273,gsm_dec,96.0
2,0,335,cjpeg_tran,96.0,279,gsm_dec,96.0
2,0,331,cjpeg_tran,96.0,287,gsm_dec,96.0
2,0,152,huff_enc,48.0,98,g723_enc,48.0
2,0,167,huff_enc,48.0,107,g723_enc,48.0
2,0,203,audiobeam,48.0,138,huff_enc,48.0
2,0,200,audiobeam,48.0,148,huff_enc,48.0
2,0,210,audiobeam,48.0,159,huff_enc,48.0
2,0,104,g723_enc,48.0,48,adpcm_enc,48.0
2,0,108,g723_enc,48.0,58,adpcm_enc,48.0
2,0,111,g723_enc,48.0,70,adpcm_enc,48.0
2,0,21,h264_dec,48.0,10,h264_dec,48.0
2,0,56,adpcm_enc,48.0,17,h264_dec,48.0
2,0,240,audiobeam,96.0,172,huff_enc,96.0
2,0,238,audiobeam,96.0,179,huff_enc,96.0
2,0,243,audiobeam,96.0,186,huff_enc,96.0
2,0,222,audiobeam,96.0,193,huff_enc,96.0
2,0,226,audiobeam,96.0,130,g723_enc,96.0
2,0,123,g723_enc,96.0,74,adpcm_enc,96.0
2,0,132,g723_enc,96.0,81,adpcm_enc,96.0
2,0,114,g723_enc,96.0,88,adpcm_enc,96.0
2,1,914,susan,96.0,911,susan,96.0
2,1,945,dijkstra,192.0,944,dijkstra,192.0
2,1,960,dijkstra,192.0,958,dijkstra,192.0
2,1,882,gsm_enc,96.0,822,rijndael_d,96.0
2,1,886,gsm_enc,96.0,825,rijndael_d,96.0
2,1,890,gsm_enc,96.0,827,rijndael_d,96.0
2,1,879,gsm_enc,96.0,835,rijndael_d,96.0
2,1,799,rijndael_e,96.0,772,epic,96.0
2,1,854,anagram,96.0,767,epic,96.0
2,1,859,anagram,96.0,805,rijndael_e,96.0
2,1,791,rijndael_e,96.0,741,cjpeg_tran,96.0
2,1,710,gsm_dec,96.0,701,gsm_dec,96.0
2,1,896,gsm_enc,192.0,837,rijndael_d,192.0
2,1,893,gsm_enc,192.0,844,rijndael_d,192.0
2,1,892,gsm_enc,192.0,851,rijndael_d,192.0
2,1,875,anagram,192.0,776,epic,192.0
2,1,872,anagram,192.0,784,epic,192.0
2,1,814,rijndael_e,192.0,748,cjpeg_tran,192.0
2,1,813,rijndael_e,192.0,758,cjpeg_tran,192.0
2,1,730,gsm_dec,192.0,726,gsm_dec,192.0
2,1,683,audiobeam,96.0,667,huff_enc,96.0
2,1,692,audiobeam,96.0,674,huff_enc,96.0
2,1,659,g723_enc,96.0,622,adpcm_enc,96.0
2,1,662,g723_enc,96.0,626,adpcm_enc,96.0
2,1,645,g723_enc,96.0,633,adpcm_enc,96.0
2,1,651,g723_enc,96.0,642,adpcm_enc,96.0
2,1,611,adpcm_dec,96.0,581,h264_dec,96.0
2,1,619,adpcm_dec,96.0,599,huff_dec,96.0
2,1,595,huff_dec,96.0,573,h264_dec,96.0
2,1,621,adpcm_enc,96.0,586,huff_dec,96.0
3,0,535,gsm_enc,48.0,428,rijndael_d,48.0
3,0,537,gsm_enc,48.0,438,rijndael_d,48.0
3,0,536,gsm_enc,48.0,447,rijndael_d,48.0
3,0,439,rijndael_d,48.0,351,epic,48.0
3,0,434,rijndael_d,48.0,361,epic,48.0
3,0,491,anagram,48.0,359,epic,48.0
3,0,482,anagram,48.0,395,rijndael_e,48.0
3,0,388,rijndael_e,48.0,302,cjpeg_tran,48.0
3,0,400,rijndael_e,48.0,320,cjpeg_tran,48.0
3,0,319,cjpeg_tran,48.0,264,gsm_dec,48.0
3,0,267,gsm_dec,48.0,259,gsm_dec,48.0
3,0,551,gsm_enc,96.0,460,rijndael_d,96.0
3,0,555,gsm_enc,96.0,467,rijndael_d,96.0
3,0,550,gsm_enc,96.0,364,epic,96.0
3,0,543,gsm_enc,96.0,373,epic,96.0
3,0,503,anagram,96.0,363,epic,96.0
3,0,497,anagram,96.0,372,epic,96.0
3,0,514,anagram,96.0,404,rijndael_e,96.0
3,0,516,anagram,96.0,415,rijndael_e,96.0
3,0,416,rijndael_e,96.0,340,cjpeg_tran,96.0
3,0,330,cjpeg_tran,96.0,281,gsm_dec,96.0
3,0,339,cjpeg_tran,96.0,291,gsm_dec,96.0
3,0,154,huff_enc,48.0,101,g723_enc,48.0
3,0,296,gsm_dec,96.0,277,gsm_dec,96.0
3,0,207,audiobeam,48.0,141,huff_enc,48.0
3,0,208,audiobeam,48.0,151,huff_enc,48.0
3,0,214,audiobeam,48.0,162,huff_enc,48.0
3,0,102,g723_enc,48.0,53,adpcm_enc,48.0
3,0,94,g723_enc,48.0,66,adpcm_enc,48.0
3,0,19,h264_dec,48.0,6,h264_dec,48.0
3,0,67,adpcm_enc,48.0,15,h264_dec,48.0
3,0,295,gsm_dec,96.0,27,h264_dec,96.0
3,0,225,audiobeam,96.0,173,huff_enc,96.0
3,0,223,audiobeam,96.0,180,huff_enc,96.0
3,0,235,audiobeam,96.0,187,huff_enc,96.0
3,0,228,audiobeam,96.0,194,huff_enc,96.0
3,0,133,g723_enc,96.0,28,h264_dec,96.0
3,0,137,g723_enc,96.0,72,adpcm_enc,96.0
3,0,118,g723_enc,96.0,79,adpcm_enc,96.0
3,0,119,g723_enc,96.0,86,adpcm_enc,96.0
3,0,46,h264_dec,96.0,39,h264_dec,96.0
3,1,924,susan,96.0,917,susan,96.0
3,1,953,dijkstra,192.0,952,dijkstra,192.0
3,1,943,susan,192.0,928,susan,192.0
3,1,939,susan,192.0,932,susan,192.0
3,1,891,gsm_enc,96.0,831,rijndael_d,96.0
3,1,823,rijndael_d,96.0,769,epic,96.0
3,1,860,anagram,96.0,761,epic,96.0
3,1,862,anagram,96.0,789,rijndael_e,96.0
3,1,804,rijndael_e,96.0,738,cjpeg_tran,96.0
3,1,802,rijndael_e,96.0,745,cjpeg_tran,96.0
3,1,716,gsm_dec,96.0,708,gsm_dec,96.0
3,1,905,gsm_enc,192.0,842,rijndael_d,192.0
3,1,909,gsm_enc,192.0,849,rijndael_d,192.0
3,1,704,gsm_dec,96.0,681,audiobeam,96.0
3,1,868,anagram,192.0,779,epic,192.0
3,1,876,anagram,192.0,815,rijndael_e,192.0
3,1,818,rijndael_e,192.0,755,cjpeg_tran,192.0
3,1,727,gsm_dec,192.0,720,gsm_dec,192.0
3,1,697,audiobeam,96.0,665,huff_enc,96.0
3,1,685,audiobeam,96.0,672,huff_enc,96.0
3,1,688,audiobeam,96.0,679,huff_enc,96.0
3,1,647,g723_enc,96.0,629,adpcm_enc,96.0
