core,crit_level,task1 id,task1 name,task1 period,task2 id,task2 name,task2 period
1,0,547,gsm_enc,48.0,449,rijndael_d,48.0
1,0,546,gsm_enc,48.0,456,rijndael_d,48.0
1,0,393,rijndael_e,48.0,355,epic,48.0
1,0,504,anagram,48.0,342,epic,48.0
1,0,493,anagram,48.0,349,epic,48.0
1,0,508,anagram,48.0,358,epic,48.0
1,0,499,anagram,48.0,399,rijndael_e,48.0
1,0,498,anagram,48.0,421,rijndael_e,48.0
1,0,411,rijndael_e,48.0,298,cjpeg_tran,48.0
1,0,416,rijndael_e,48.0,305,cjpeg_tran,48.0
1,0,401,rijndael_e,48.0,312,cjpeg_tran,48.0
1,0,269,gsm_dec,48.0,268,gsm_dec,48.0
1,0,558,gsm_enc,96.0,465,rijndael_d,96.0
1,0,570,gsm_enc,96.0,472,rijndael_d,96.0
1,0,549,gsm_enc,96.0,363,epic,96.0
1,0,569,gsm_enc,96.0,384,epic,96.0
1,0,524,anagram,96.0,373,epic,96.0
1,0,525,anagram,96.0,381,epic,96.0
1,0,441,rijndael_e,96.0,315,cjpeg_tran,96.0
1,0,432,rijndael_e,96.0,322,cjpeg_tran,96.0
1,0,439,rijndael_e,96.0,329,cjpeg_tran,96.0
1,0,275,gsm_dec,96.0,271,gsm_dec,96.0
1,0,290,gsm_dec,96.0,282,gsm_dec,96.0
1,0,197,audiobeam,48.0,148,huff_enc,48.0
1,0,217,audiobeam,48.0,155,huff_enc,48.0
1,0,208,audiobeam,48.0,162,huff_enc,48.0
1,0,190,audiobeam,48.0,169,huff_enc,48.0
1,0,112,g723_enc,48.0,43,adpcm_enc,48.0
1,0,98,g723_enc,48.0,56,adpcm_enc,48.0
1,0,104,g723_enc,48.0,65,adpcm_enc,48.0
1,0,14,h264_dec,48.0,13,h264_dec,48.0
1,0,54,adpcm_enc,48.0,11,h264_dec,48.0
1,0,240,audiobeam,96.0,171,huff_enc,96.0
1,0,220,audiobeam,96.0,175,huff_enc,96.0
1,0,249,audiobeam,96.0,182,huff_enc,96.0
1,0,234,audiobeam,96.0,224,audiobeam,96.0
1,0,121,g723_enc,96.0,71,adpcm_enc,96.0
1,0,133,g723_enc,96.0,77,adpcm_enc,96.0
1,0,130,g723_enc,96.0,84,adpcm_enc,96.0
1,0,127,g723_enc,96.0,91,adpcm_enc,96.0
1,0,25,h264_dec,96.0,23,h264_dec,96.0
1,1,923,susan,96.0,916,susan,96.0
1,1,959,dijkstra,192.0,948,dijkstra,192.0
1,1,929,susan,192.0,927,susan,192.0
1,1,940,susan,192.0,940,susan,192.0
1,1,894,gsm_enc,96.0,828,rijndael_d,96.0
1,1,857,anagram,96.0,757,epic,96.0
1,1,865,anagram,96.0,764,epic,96.0
1,1,797,rijndael_e,96.0,724,cjpeg_tran,96.0
1,1,802,rijndael_e,96.0,735,cjpeg_tran,96.0
1,1,728,cjpeg_tran,96.0,707,gsm_dec,96.0
1,1,914,gsm_enc,192.0,836,rijndael_d,192.0
