core,crit_level,task1 id,task1 name,task1 period,task2 id,task2 name,task2 period
1,0,502,gsm_enc,48.0,400,rijndael_d,48.0
1,0,505,gsm_enc,48.0,407,rijndael_d,48.0
1,0,484,gsm_enc,48.0,316,epic,48.0
1,0,496,gsm_enc,48.0,325,epic,48.0
1,0,436,anagram,48.0,322,epic,48.0
1,0,450,anagram,48.0,333,epic,48.0
1,0,451,anagram,48.0,365,rijndael_e,48.0
1,0,358,rijndael_e,48.0,280,cjpeg_tran,48.0
1,0,360,rijndael_e,48.0,289,cjpeg_tran,48.0
1,0,287,cjpeg_tran,48.0,234,gsm_dec,48.0
1,0,295,cjpeg_tran,48.0,254,gsm_dec,48.0
1,0,250,gsm_dec,48.0,241,gsm_dec,48.0
1,0,526,gsm_enc,96.0,419,rijndael_d,96.0
1,0,522,gsm_enc,96.0,426,rijndael_d,96.0
1,0,508,gsm_enc,96.0,433,rijndael_d,96.0
1,0,473,anagram,96.0,345,epic,96.0
1,0,476,anagram,96.0,352,epic,96.0
1,0,469,anagram,96.0,383,rijndael_e,96.0
1,0,384,rijndael_e,96.0,305,cjpeg_tran,96.0
1,0,301,cjpeg_tran,96.0,258,gsm_dec,96.0
1,0,314,cjpeg_tran,96.0,270,gsm_dec,96.0
1,0,276,gsm_dec,96.0,264,gsm_dec,96.0
1,0,192,audiobeam,48.0,145,huff_enc,48.0
1,0,186,audiobeam,48.0,154,huff_enc,48.0
1,0,199,audiobeam,48.0,161,huff_enc,48.0
1,0,112,g723_enc,48.0,58,adpcm_enc,48.0
1,0,101,g723_enc,48.0,65,adpcm_enc,48.0
1,0,122,g723_enc,48.0,72,adpcm_enc,48.0
1,0,3,h264_dec,48.0,0,h264_dec,48.0
1,0,18,h264_dec,48.0,9,h264_dec,48.0
1,0,209,audiobeam,96.0,165,huff_enc,96.0
1,0,204,audiobeam,96.0,170,huff_enc,96.0
1,0,221,audiobeam,96.0,177,huff_enc,96.0
1,0,223,audiobeam,96.0,222,audiobeam,96.0
1,0,127,g723_enc,96.0,84,adpcm_enc,96.0
1,0,134,g723_enc,96.0,91,adpcm_enc,96.0
1,0,53,h264_dec,96.0,33,h264_dec,96.0
1,0,48,h264_dec,96.0,47,h264_dec,96.0
1,1,896,susan,96.0,893,susan,96.0
1,1,920,dijkstra,192.0,919,dijkstra,192.0
1,1,907,susan,192.0,905,susan,192.0
1,1,846,gsm_enc,96.0,781,rijndael_d,96.0
1,1,849,gsm_enc,96.0,791,rijndael_d,96.0
1,1,773,rijndael_d,96.0,716,epic,96.0
1,1,779,rijndael_d,96.0,721,epic,96.0
1,1,821,anagram,96.0,713,epic,96.0
1,1,824,anagram,96.0,746,rijndael_e,96.0
1,1,751,rijndael_e,96.0,693,cjpeg_tran,96.0
1,1,690,cjpeg_tran,96.0,660,gsm_dec,96.0
1,1,700,cjpeg_tran,96.0,669,gsm_dec,96.0
1,1,879,gsm_enc,192.0,806,rijndael_d,192.0
1,1,871,gsm_enc,192.0,813,rijndael_d,192.0
1,1,869,gsm_enc,192.0,738,epic,192.0
1,1,653,gsm_dec,96.0,621,huff_enc,96.0
1,1,838,anagram,192.0,757,rijndael_e,192.0
1,1,841,anagram,192.0,765,rijndael_e,192.0
1,1,772,rijndael_e,192.0,706,cjpeg_tran,192.0
1,1,684,gsm_dec,192.0,673,gsm_dec,192.0
1,1,645,audiobeam,96.0,626,huff_enc,96.0
1,1,637,audiobeam,96.0,607,g723_enc,96.0
1,1,647,audiobeam,96.0,619,g723_enc,96.0
1,1,597,g723_enc,96.0,585,adpcm_enc,96.0
1,1,598,g723_enc,96.0,592,adpcm_enc,96.0
1,1,574,adpcm_dec,96.0,533,h264_dec,96.0
1,1,573,adpcm_dec,96.0,549,huff_dec,96.0
1,1,563,adpcm_dec,96.0,559,huff_dec,96.0
2,0,498,gsm_enc,48.0,399,rijndael_d,48.0
2,0,495,gsm_enc,48.0,406,rijndael_d,48.0
2,0,491,gsm_enc,48.0,413,rijndael_d,48.0
2,0,453,anagram,48.0,318,epic,48.0
2,0,447,anagram,48.0,321,epic,48.0
2,0,449,anagram,48.0,329,epic,48.0
2,0,457,anagram,48.0,363,rijndael_e,48.0
2,0,371,rijndael_e,48.0,277,cjpeg_tran,48.0
2,0,376,rijndael_e,48.0,285,cjpeg_tran,48.0
2,0,366,rijndael_e,48.0,294,cjpeg_tran,48.0
2,0,227,gsm_dec,48.0,226,gsm_dec,48.0
2,0,243,gsm_dec,48.0,237,gsm_dec,48.0
2,0,507,gsm_enc,96.0,416,rijndael_d,96.0
2,0,514,gsm_enc,96.0,423,rijndael_d,96.0
2,0,509,gsm_enc,96.0,430,rijndael_d,96.0
2,0,478,anagram,96.0,340,epic,96.0
2,0,462,anagram,96.0,348,epic,96.0
2,0,480,anagram,96.0,355,epic,96.0
2,0,465,anagram,96.0,391,rijndael_e,96.0
2,0,381,rijndael_e,96.0,311,cjpeg_tran,96.0
2,0,256,gsm_dec,96.0,255,gsm_dec,96.0
2,0,272,gsm_dec,96.0,269,gsm_dec,96.0
2,0,187,audiobeam,48.0,149,huff_enc,48.0
2,0,201,audiobeam,48.0,157,huff_enc,48.0
2,0,117,g723_enc,48.0,10,h264_dec,48.0
2,0,110,g723_enc,48.0,22,h264_dec,48.0
2,0,98,g723_enc,48.0,63,adpcm_enc,48.0
2,0,104,g723_enc,48.0,70,adpcm_enc,48.0
2,0,118,g723_enc,48.0,77,adpcm_enc,48.0
2,0,13,h264_dec,48.0,7,h264_dec,48.0
2,0,206,audiobeam,96.0,164,huff_enc,96.0
2,0,220,audiobeam,96.0,169,huff_enc,96.0
2,0,225,audiobeam,96.0,176,huff_enc,96.0
2,0,216,audiobeam,96.0,212,audiobeam,96.0
2,0,129,g723_enc,96.0,81,adpcm_enc,96.0
2,0,139,g723_enc,96.0,88,adpcm_enc,96.0
2,0,30,h264_dec,96.0,29,h264_dec,96.0
2,0,51,h264_dec,96.0,41,h264_dec,96.0
2,1,888,susan,96.0,887,susan,96.0
2,1,915,dijkstra,192.0,914,dijkstra,192.0
2,1,901,susan,192.0,899,susan,192.0
2,1,852,gsm_enc,96.0,776,rijndael_d,96.0
2,1,843,gsm_enc,96.0,786,rijndael_d,96.0
2,1,853,gsm_enc,96.0,797,rijndael_d,96.0
2,1,788,rijndael_d,96.0,725,epic,96.0
2,1,822,anagram,96.0,718,epic,96.0
2,1,825,anagram,96.0,754,rijndael_e,96.0
2,1,747,rijndael_e,96.0,702,cjpeg_tran,96.0
2,1,695,cjpeg_tran,96.0,667,gsm_dec,96.0
2,1,858,gsm_enc,192.0,801,rijndael_d,192.0
2,1,867,gsm_enc,192.0,808,rijndael_d,192.0
2,1,862,gsm_enc,192.0,730,epic,192.0
2,1,865,gsm_enc,192.0,739,epic,192.0
2,1,832,anagram,192.0,731,epic,192.0
2,1,837,anagram,192.0,735,epic,192.0
2,1,833,anagram,192.0,762,rijndael_e,192.0
2,1,763,rijndael_e,192.0,703,cjpeg_tran,192.0
2,1,712,cjpeg_tran,192.0,682,gsm_dec,192.0
2,1,643,audiobeam,96.0,623,huff_enc,96.0
2,1,651,audiobeam,96.0,630,huff_enc,96.0
2,1,649,audiobeam,96.0,613,g723_enc,96.0
2,1,614,g723_enc,96.0,583,adpcm_enc,96.0
2,1,616,g723_enc,96.0,590,adpcm_enc,96.0
2,1,572,adpcm_dec,96.0,531,h264_dec,96.0
2,1,571,adpcm_dec,96.0,547,huff_dec,96.0
2,1,577,adpcm_dec,96.0,554,huff_dec,96.0
